mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.520967483520508,0.07025948838764101,1.3936010996500652,0.09337738682459377,True,10,sqrt,1,10,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.675967596759676,0.6798304830483048,0.6755428871469827,0.6771136556516545,0.0019288956929066653,41
3.363779147466024,0.09675480181932503,1.4498787720998128,0.40070361761736745,True,10,sqrt,1,10,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.6760801080108011,0.680055505550555,0.6748302891647602,0.6769886342420387,0.0022278220312269134,59
4.417670726776123,0.13281529045793367,1.9390615622202556,0.10559299395077931,True,10,sqrt,1,10,300,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.6766426642664266,0.6801680168016802,0.6749052994786783,0.6772386601822616,0.002189437789970304,33
2.176093419392904,0.2303133659157907,1.5084238052368164,0.10095834725317972,True,10,sqrt,2,2,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6763051305130513,0.6785928592859286,0.6747927840078011,0.676563591268927,0.0015621021096810309,105
4.037909825642903,0.06979005737154675,1.5275313059488933,0.034519168981511514,True,10,sqrt,2,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6770177017701771,0.6800930093009301,0.674755278850842,0.6772886633073164,0.002187526259713797,29
4.785119613011678,0.17808818579220292,1.8137416044871013,0.12764146795319323,True,10,sqrt,2,2,300,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.6771677167716772,0.6794929492949295,0.6746427633799648,0.6771011431488572,0.0019806396084551775,47
3.000216484069824,0.15712682931018523,1.5349642435709636,0.2876766220477551,True,10,sqrt,2,5,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6771677167716772,0.6803930393039304,0.6758054232456963,0.6777887264404345,0.0019236761735384822,3
3.865309476852417,0.07184971954375007,1.8002458413441975,0.044549195965278204,True,10,sqrt,2,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6771302130213022,0.6798679867986799,0.6753178562052282,0.6774386853417367,0.001870345508851581,23
4.641243139902751,0.12006332693469107,1.2853687604268391,0.05791684152033047,True,10,sqrt,2,5,300,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.6770177017701771,0.6806930693069307,0.6750928252634737,0.6776011987801939,0.002323221169998374,9
2.8603049914042153,0.03156302368716862,1.2432687282562256,0.13423213619127214,True,10,sqrt,2,10,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6784803480348035,0.6798679867986799,0.6755053819900236,0.6779512389411689,0.00181989880741626,1
